Rank,Country,Score
1,Iceland,0.09050786266067606
2,Switzerland,0.08834103644541515
3,Luxembourg,0.0777218124273364
4,Netherlands,0.06933450248022158
5,Denmark,0.06776899172783016
6,Norway,0.0550174283599413
7,Germany,0.054431435038347596
8,Finland,0.04642252050760527
9,Austria,0.04581755452176346
10,Sweden,0.043187224201612216
11,Belgium,0.03597317757735478
12,Ireland,0.03412186167697575
13,Poland,0.03185463339078027
14,Czech Republic,0.030573615835383577
15,United Kingdom,0.030296961211347815
16,Estonia,0.02404159634030432
17,France,0.022690183105522104
18,Slovenia,0.02166172659410605
19,Lithuania,0.021549885035333696
20,Hungary,0.02071773241926666
21,Latvia,0.018472564851085914
22,Spain,0.0177287564366099
23,Italy,0.01634924788343948
24,Slovak Republic,0.015583694239159826
25,Portugal,0.012069756637283944
26,Greece,0.0077642383952968375
